code_new,metrics,definitions
qam17,Personnel expenses for Asphalt Maintenance ,"Total amount of personnel expenses for asphalt maintenance in the fiscal year. This amount includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unit’s share of overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurance, disability insurance, unemployment compensation, workers’ compensation contributions, deferred compensation, and other benefits."
qam18,Operational expenses for Asphalt Maintenance ,"Total amount of operational expenses for asphalt maintenance in the fiscal year. This includes non-capital outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, and sublet work; and all other operating expenses."
qam18_01,Personnel expenses as a percentage of total asphalt maintenance expenses,[Operational expenses for Asphalt Maintenance] divided by [Total expenses for asphalt maintenance] and multiplied by 100.
qam18_02,Expenses for asphalt maintenance per capita,"[Total expenses for asphalt maintenance] divided by [Population, 2020]."
qam18_03,Expenses for asphalt maintenance per lane mile,[Total expenses for asphalt maintenance] divided by [Lane miles].
qam18_04,Total expenses for asphalt maintenance,[Personnel expenses for Asphalt Maintenance (municipality only)] + [Operational expenses for Asphalt Maintenance (municipality only)].
qbi01,Residential plan reviews,Total number of residential (as defined under NC Residential Code) plan reviews conducted in the fiscal year. Multiple trade reviews to be counted as one plan review for one address (or application). This type of review assesses the design and construction methodology and the ability to comply with code on the site.
qbi01_01,Residential plan reviews as a percentage of total plan reviews,[Residential plan reviews] divided by [Total plan reviews].
qbi01_02,Residential plan reviews per capita,"[Residential plan reviews] divided by [Population, 2020]."
qbi02,Commercial plan reviews,Total number of commercial (as defined under NC Building Code) plan reviews conducted in the fiscal year. Multiple trade reviews to be counted as one plan review for one address (or application). This type of review assesses the design and construction methodology and the ability to comply with code on the site.
qbi02_01,Ratio of commercial to residential plan reviews,[Commercial plan reviews] divided by [Residential plan reviews].
qbi02_02,Commercial plan reviews per capita,"[Commercial plan reviews] divided by [Population, 2020]."
qbi03,Median processing time for residential plan reviews,Median processing time in days for the review of each residential (as defined under NC Residential Code) plan from submission to acceptance (sent for permitting) or rejection. This number excludes the time a contractor takes to answer questions. Multiple trade reviews to be counted as one plan review for one address (or application).
qbi04,Median processing time for commercial plan reviews,"Median processing time in days for the review of each commercial (as defined under NC Building Code) plan from submission to acceptance (sent for permitting) or rejection. This number excludes the time a contractor takes to answer questions. A North Carolina commercial plan review is mandatory, though certain plan reviews may first go to the NC Department of Insurance (NCDOI) if they fall under the requirements stated in Table 104.1 of the NC Administrative Code. A local AHJ may review a plan in-house with special permission from NCDOI. Multiple trade reviews to be counted as one plan review for one address (or application)."
qbi05,Zoning plan reviews,"Total number of zoning plan reviews (pre-entitlement, sign reviews, additions, setbacks, etc.) conducted in the fiscal year."
qbi06,Fire plan reviews,Total number of fire plan reviews (including Life Safety reviews or Sprinkler Determinations) conducted in the fiscal year.
qbi06_01,Total plan reviews,[Residential plan reviews] + [Commercial plan reviews] + [Zoning Plan Reviews] + [Fire Plan Reviews] .
qbi06_02,Total plan reviews per capita,"[Total plan reviews] divided by [Population, 2020]."
qbi06_03,Total plan reviews per FTE,[Fire plan reviews] divided by [Approved inspector FTEs].
qbi07,Permits issued for new residential buildings,Total number of permits issued for new residential dwelling units (attached or detached) constructed in accordance with the NC Residential Code in the fiscal year.
qbi07_01,Permits issued for new residential buildings per capita,"[Permits issued for new residential buildings] divided by [Population, 2020]."
qbi08,Permits issued for new commercial buildings,Total number of permits issued in the fiscal year for new commercial buildings in accordance with the NC Building Code.
qbi08_01,Ratio of commercial to residential permits issued,[Permits issued for new commercial buildings] divided by [Permits issued for new residential buildings].
qbi08_02,Commercial permits issued per capita,"[Permits issued for new commercial buildings] divided by [Population, 2020]."
qbi09,Apartment units in newly permitted buildings,"Total number of apartments in newly permitted commercial (multi-family) buildings in the fiscal year. For example, if multi-family building A had 20 apartments, building B had 100 apartments, and building C had 80 apartments, the total number of apartment units permitted would be 200."
qbi10,Permits issued for new manufactured homes,"Total number of permits issued in the fiscal year for new manufactured homes (one permit per manufactured home). A manufactured home is defined as a structure, transportable in one or more sections, which, in the traveling mode, is eight feet or more in width or is 40 feet or more in length, or when erected on site, is 320 or more square feet, and which is built on a permanent chassis and designed to be used as a dwelling with or without a permanent foundation when connected to the required utilities, and includes the plumbing, heating, air conditioning, and electrical systems contained therein. These homes are built in accordance with the U.S. Department of Housing and Urban Development (HUD) building code."
qbi10_01,Permits Issued for new buildings,[Permits issued for new Residential Buildings] + [Permits issued for new Commercial Buildings] + [Apartment units in newly permitted buildings].
qbi10_02,Permits Issued for new buildings as a percentage of total permits,[Permits Issued for new buildings] divided by [Total permits issued] and multiplied by 100.
qbi11,"Permits issued for addition, alteration, or conversion of single family housing ","Total number of permits issued in the fiscal year for addition, alteration, or conversion of single family dwelling units (attached or detached) constructed in accordance with the NC Residential Code."
qbi12,"Permits issued for addition, alteration or conversion of commercial buildings","Total number of permits issued in the fiscal year for addition, alteration, or conversion of commercial buildings in accordance with the NC Building Code."
qbi13,"Permits issued for addition, alteration, or conversion of manufactured homes","Total number of permits issued in the fiscal year for addition, alteration, or conversion of manufactured homes (one permit per manufactured home). A manufactured home is defined as a structure, transportable in one or more sections, which, in the traveling mode, is eight feet or more in width or is 40 feet or more in length, or when erected on site, is 320 or more square feet, and which is built on a permanent chassis and designed to be used as a dwelling with or without a permanent foundation when connected to the required utilities, and includes the plumbing, heating, air conditioning, and electrical systems contained therein. These homes are built in accordance with the U.S. Department of Housing and Urban Development (HUD) building code."
qbi14,Electrical permits issued,Total number of electrical trade permits issued in the fiscal year. This metric is left blank if the permit data is not broken down by type of trade work.
qbi14_01,Electrical permits as a percentage of total permits issued,[Electrical permits issued] divided by [Total permits issued] and multiplied by 100.
qbi15,Mechanical permits issued,Total number of mechanical trade permits issued in the fiscal year. This metric is left blank if the permit data is not broken down by type of trade work.
qbi15_01,Mechanical permits as a percentage of total permits issued,[Mechanical permits issued] divided by [Total permits issued] and multiplied by 100.
qbi16,Plumbing permits issued,Total number of plumbing trade permits issued in the fiscal year. This metric is left blank if the permit data is not broken down by type of trade work.
qbi16_01,Plumbing permits as a percentage of total permits issued,[Plumbing permits issued] divided by [Total permits issued] and multiplied by 100.
qbi17,Fire permits issued,Total number of fire permits issued in the fiscal year. This metric is left blank if the permit data is not broken down by type of trade work.
qbi17_01,Fire permits as a percentage of total permits issued,[Fire permits issued] divided by [Total permits issued] and multiplied by 100.
qbi18,Other permits issued,"Total number of other permits issued in the fiscal year that are NOT new building, addition, alteration, or conversion permits. This may include zoning, gas, insulation, HVAC changeouts, water heater changeouts (applications that contain two permits must be counted separately), special use, wireless, signs, STR (Short-Term Rental), licensed set-up contractor for Manufactured Homes, use permits issued internally, photovoltaic systems, repairs, generators, etc. For some departments, this may include permits in which a plan review may not be required."
qbi19,Total permits issued,"Total number of permits issued in the fiscal year. This includes all electrical, mechanical, plumbing, fire, and other types of trade permits."
qbi19_01,Total permits issued per capita,"[Total permits issued] divided by [Population, 2020]."
qbi19_02,Total permits issued per FTE,[Total permits issued] divided by [Approved inspector FTEs].
qbi20,Median processing time for residential permits,"Median number of days from the time a residential (see NC Residential Code) permit is submitted to the time the permit is issued or denied. This includes the number of days for all phases (permit techs review, draft responses, verify licenses, etc.) from residential permit submission to approval or denial. This does not include time spent corresponding with an applicant regarding comments and questions."
qbi21,Median processing time for commercial permits,"Median number of days from the time a commercial (see NC Building Code) permit is submitted to the time the permit is issued or denied. This includes the number of days for all phases (permit techs review, draft responses, verify licenses, etc.) from commercial permit submission to approval or denial. This does not include time spent corresponding with an applicant regarding comments and questions."
qbi22,Residential inspections completed,"Total number of building, electrical, mechanical, and plumbing inspections completed in the fiscal year for a new building or structure that is scoped as complying with the NC Residential Code. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action."
qbi22_01,Residential inspections completed as a percentage of total inspections,[Residential inspections completed] divided by [Total inspections completed] and multiplied by 100.
qbi23,Commercial inspections completed,"Total number of building, electrical, mechanical, and plumbing inspections completed in the fiscal year for a new building or structure that is scoped as complying with the NC Building Code. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action. See Section 107 of the NC Administrative Code for inspection requirements."
qbi23_01,Commercial inspections completed as a percentage of total inspections,[Commercial inspections completed] divided by [Total inspections completed] and multiplied by 100.
qbi24,Apartment units inspected,"Total number of apartments inspected in new commercial (multi-family) buildings in the fiscal year. For example, if multi-family building A had 20 apartments, building B had 100 apartment, and building C had 80 apartments, the total number of apartment units inspected would be 200. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action. See Section 107 of the NC Administrative Code for inspection requirements."
qbi25,Manufactured home inspections completed,"Total number of building, electrical, mechanical, and plumbing inspections completed in the fiscal year for new manufactured homes. A manufactured home is defined as a structure, transportable in one or more sections, which, in the traveling mode, is eight feet or more in width or is 40 feet or more in length, or when erected on site, is 320 or more square feet, and which is built on a permanent chassis and designed to be used as a dwelling with or without a permanent foundation when connected to the required utilities, and includes the plumbing, heating, air conditioning, and electrical systems contained therein. These homes are built in accordance with the U.S. Department of Housing and Urban Development (HUD) building code. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action. See Section 107 of the NC Administrative Code for inspection requirements."
qbi26,"Inspections completed for additions, alterations, and conversions - Residential","Total number of building, electrical, mechanical, and plumbing inspections completed in the fiscal year for additions, alterations, and conversions scoped as complying with the NC Residential Code. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action."
qbi26_01,Total residential inspections completed,"[Residential inspections completed (new)] + [Inspections completed for Additions, Alterations, and Conversions - Residential] ."
qbi27,"Inspections completed for additions, alterations, and conversions - Commercial","Total number of building, electrical, mechanical, and plumbing inspections completed in the fiscal year for additions, alterations, and conversions scoped as complying with the NC Building Code."
qbi27_01,Total commercial inspections completed,"[Commercial inspections completed (new)] + [Inspections completed for Additions, Alterations, and Conversions - Commercial]."
qbi28,"Inspections completed for additions, alterations, and conversions - Manufactured homes","Total number of building, electrical, mechanical, and plumbing inspections completed by the jurisdiction in the fiscal year for additions, alterations, and conversions of manufactured homes. A manufactured home is defined as a structure, transportable in one or more sections, which, in the traveling mode, is eight feet or more in width or is 40 feet or more in length, or when erected on site, is 320 or more square feet, and which is built on a permanent chassis and designed to be used as a dwelling with or without a permanent foundation when connected to the required utilities, and includes the plumbing, heating, air conditioning, and electrical systems contained therein. These homes are built in accordance with the U.S. Department of Housing and Urban Development (HUD) building code. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action. See Section 107 of the NC Administrative Code for inspection requirements."
qbi28_01,Total manufactured home inspections completed,"[Manufactured home inspections completed (new)] + [Inspections completed for Additions, Alterations, and Conversions - Manufactured]."
qbi29,Residential inspections denied,"Total number of residential inspections (see NC Residential Code) denied in the fiscal year for new construction or additions, alterations, and conversions. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action. This includes accessory structure, electrical, gas, insulation, mechanical, and plumbing inspections. See Section 107 of the NC Administrative Code for inspection requirements."
qbi29_01,Residential inspections denied as a percentage of total residential inspections,[Residential inspections denied] divided by [Total residential inspections completed] and multiplied by 100.
qbi30,Commercial inspections denied,"Total number of commercial inspections (see NC Building Code) denied in the fiscal year for new construction or additions, alterations, and conversions. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action. This includes accessory structure, electrical, gas, insulation, mechanical, and plumbing inspections. See Section 107 of the NC Administrative Code for inspection requirements."
qbi30_01,Commercial inspections denied as a percentage of total commercial inspections,[Commercial inspections denied] divided by [Total commercial inspections completed] and multiplied by 100.
qbi31,Residential inspections completed within 2 business days,"Total number of building, electrical, mechanical, and plumbing inspections in the fiscal year for new construction or additions, alterations, and conversions of residential buildings (see NC Residential Code) that were completed within two business days of the requested date. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action. See Section 107 of the NC Administrative Code for inspection requirements."
qbi31_01,Residential inspections completed within 2 business days as a percentage of total residential inspections,[Residential inspections completed within 2 business days] divided by [Total residential inspections completed] and multiplied by 100.
qbi32,Commercial inspections completed within 2 business days,"Total number of building, electrical, mechanical, and plumbing inspections in the fiscal year for new construction or additions, alterations, and conversions of commercial buildings (see NC Building Code) that were completed within two business days of the requested date. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action. See Section 107 of the NC Administrative Code for inspection requirements."
qbi32_01,Commercials inspections completed within 2 business days as a percentage of total commercial inspections,[Commercial inspections completed within 2 business days] divided by [Total commercial inspections completed] and multiplied by 100.
qbi33,Manufactured home inspections completed within 2 business days,"Total number of building, electrical, mechanical, and plumbing inspections in the fiscal year for new construction or additions, alterations, and conversions of manufactured homes that were completed within two business days of the requested date. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action. See Section 107 of the NC Administrative Code for inspection requirements. A manufactured home is defined as a structure, transportable in one or more sections, which, in the traveling mode, is eight feet or more in width or is 40 feet or more in length, or when erected on site, is 320 or more square feet, and which is built on a permanent chassis and designed to be used as a dwelling with or without a permanent foundation when connected to the required utilities, and includes the plumbing, heating, air conditioning, and electrical systems contained therein. These homes are built in accordance with the U.S. Department of Housing and Urban Development (HUD) building code."
qbi33_01,Manufactured home inspections completed within 2 business days as a percentage of total manufactured home inspections,[Manufactured home inspections completed within 2 business days] divided by [Total manufactured home inspections completed] and multiplied by 100.
qbi34,Building inspections completed,"Total number of building trade inspections completed in the fiscal year. Count each building trade inspection separately even if it is conducted concurrently with other inspections (electrical, fire, etc.). An inspection is defined as visiting a job site to verify that the scope of work permitted is in compliance with the associated discipline (building). See Section 107 of the NC Administrative Code for inspection requirements."
qbi34_01,Building inspections completed as a percentage of total inspections,[Building inspections completed] divided by [Total inspections completed] and multiplied by 100.
qbi35,Electrical inspections completed,"Total number of electrical trade inspections completed in the fiscal year. Count each inspection separately even if it is conducted concurrently with other inspections (building, fire, etc.). An inspection is defined as visiting a job site to verify that the scope of work permitted is in compliance with the associated discipline (electric). See Section 107 of the NC Administrative Code for inspection requirements."
qbi35_01,Electrical inspections completed as a percentage of total inspections,[Electrical inspections completed] divided by [Total inspections completed] and multiplied by 100.
qbi36,Mechanical inspections completed,"Total number of mechanical trade inspections completed  in the fiscal year. Count each inspection separately even if it is conducted concurrently with other inspections (building, fire, etc.). An inspection is defined as visiting a job site to verify that the scope of work permitted is in compliance with the associated discipline (mechanical). See Section 107 of the NC Administrative Code for inspection requirements."
qbi36_01,Mechanical inspections completed as a percentage of total inspections,[Mechanical inspections completed] divided by [Total inspections completed] and multiplied by 100.
qbi37,Plumbing inspections completed,"Total number of plumbing trade inspections completed in the fiscal year. Count each inspection separately even if it is conducted concurrently with other inspections (building, fire, etc.). An inspection is defined as visiting a job site to verify that the scope of work permitted is in compliance with the associated discipline (plumbing). See Section 107 of the NC Administrative Code for inspection requirements."
qbi37_01,Plumbing inspections completed as a percentage of total inspections,[Plumbing inspections completed] divided by [Total inspections completed] and multiplied by 100.
qbi38,Fire inspections completed,Total number of non-periodic fire inspections completed in the fiscal year for newly permitted work or projects.
qbi38_01,Fire inspections completed as a percentage of total inspections,[Fire inspections completed] divided by [Total inspections completed] and multiplied by 100.
qbi38_02,Total inspections completed,[Building inspections completed] + [Eletrical inspections completed] + [Mechanical inspections completed] + [Plumbing inspections completed] + [Fire inspections completed].
qbi39,Building inspections denied,"Total number of building inspections denied in the fiscal year. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action. See Section 107 of the NC Administrative Code for inspection requirements."
qbi39_01,Building inspections denied as a percentage of total building inspections,[Building inspections denied] divided by [Building inspections completed] and multiplied by 100.
qbi40,Electrical inspections denied,"Total number of electric inspections denied in the fiscal year. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action. See Section 107 of the NC Administrative Code for inspection requirements."
qbi40_01,Electrical inspections denied  as a percentage of total electrical inspections,[Electrical inspections denied] divided by [Electrical inspections completed] and multiplied by 100.
qbi41,Mechanical inspections denied,"Total number of mechanical inspections denied by the jurisdiction in the fiscal year. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action. See Section 107 of the NC Administrative Code for inspection requirements."
qbi41_01,Mechanical inspections denied as a percentage of total mechanical inspections,[Mechanical inspections denied] divided by [Mechanical inspections completed] and multiplied by 100.
qbi42,Plumbing inspections denied,"Total number of plumbing inspections denied in the fiscal year. Inspection refers to an on-site or otherwise visual examination to verify compliance with a code, rule, or standard. It does not refer to a phone call, walk-in visit, appointment, or other communication, correspondence, or action. See Section 107 of the NC Administrative Code for inspection requirements."
qbi42_01,Plumbing inspections denied as a percentage of total mechanical inspections,[Plumbing inspections denied] divided by [Plumbing inspections completed] and multiplied by 100.
qbi43,Fire inspections denied,Total number of non-periodic fire inspections denied in the fiscal year for newly permitted work or projects.
qbi43_01,Fire inspections denied as a percentage of total fire inspections,[Fire inspections denied] divided by [Fire inspections completed] and multiplied by 100.
qbi44,Zoning inspections completed,Total number of zoning inspections completed in the fiscal year.
qbi45,Zoning violations,Total number of zoning violation notices issued by the jurisdiction in the fiscal year.
qbi45_01,Zoning violations as a percentage of total zoning inspections,[Zoning violations] divided by [Zoning inspections completed] and multiplied by 100.
qbi46,Other inspections completed,"Total number of other inspections completed in the fiscal year that were NOT counted as part of building, electrical, mechanical, plumbing, zoning, or fire inspections. These may be inspections related to complaints, daycare centers, Alcoholic Beverage Control (ABC), sidewalks, mobile homes, quality assurance, churches, schools, foster care, or special inspections such as code enforcement. Count each inspection separately even if it is conducted concurrently with other inspections. An inspection is defined as visiting a job site to verify that the scope of work permitted is in compliance with the associated disciplines. See Section 107 of the NC Administrative Code for inspection requirements."
qbi47,Notice of violation issued,Total  number of notices of violation issued in the fiscal year (under GS_160D-404. Enforcement (a)).
qbi47_01,Notices of violation issued per capita,"[Notice of violation issued] divided by [Population, 2020]."
qbi48,Stop-work orders issued,Total number of stop-work orders issued in the fiscal year (under GS_160D-404. Enforcement (b)).
qbi48_01,Stop-work orders issued per capita,"[Stop-work orders issued] divided by [Population, 2020]."
qbi49,Stop-work orders for non-permitted work,Total number of stop-work orders for unpermitted work issued in the fiscal year (under GS_160D-404. Enforcement (b)).
qbi49_01,Stop-work orders for non-permitted work per capita,"[Stop-work orders for non-permitted work] divided by [Population, 2020]."
qbi50,Daily walk-ins (optional),"Total number of departmental daily walk-ins in the fiscal year. These include walk-ins for new permit applications, building code questions, zoning questions, grading and stormwater questions, permit amendments, permit pick-ups, plan drop-offs, water functions, early assistance and pre-application meetings, pre-arranged appointments, etc."
qbi51,Training and development expenses,Total amount spent in the fiscal year on training and development.
qbi52,Residential plan review revenue,Total revenue generated in the fiscal year from residential (as defined by NC Residential Code) plan review fees.
qbi53,Residential permit revenue,Total revenue generated in the fiscal year from residential (as defined by NC Residential Code) permit fees.
qbi54,Residential inspection revenue,Total revenue generated in the fiscal year from residential (as defined by NC Residential Code) inspection fees.
qbi55,Residential re-inspection revenue,Total revenue generated in the fiscal year from residential (as defined by NC Residential Code) re-inspection fees. These are fees collected after a previous failed inspection.
qbi55_01,Total residential revenue,[Residential plan review revenue] + [Residential permit revenue] + [Residential inspection revenue] + [Residential re-inspection revenue].
qbi55_02,Residential revenue as a percentage of total revenue,[Total residential revenue] divided by [Total revenue] and multiplied by 100.
qbi56,Commercial plan review revenue,Total revenue generated in the fiscal year from commercial (as defined by NC Building Code) plan review fees.
qbi56_01,Total plan review revenue,[Residential plan review revenue] + [Commercial plan review revenue].
qbi56_02,Plan review revenue as a percentage of total revenue,[Total plan review revenue] divided by [Total revenue] and multiplied by 100.
qbi57,Commercial permit revenue,Total revenue generated in the fiscal year from commercial (as defined by NC Building Code) permit fees.
qbi58,Commercial inspection revenue,Total revenue generated in the fiscal year from commercial (as defined by NC Building Code) inspection fees.
qbi59,Commercial re-inspection revenue,Total revenue generated in the fiscal year from commercial (as defined by NC Building Code) re-inspection fees. These are fees collected after a previous failed inspection.
qbi59_01,Total commercial revenue,[Commercial plan review revenue] + [Commercial permit revenue] + [Commercial inspection revenue] + [Commercial re-ispection revenue].
qbi59_02,Commercial revenue as a percentage of total revenue,[Total commercial revenue] divided by [Total revenue] and multiplied by 100.
qbi60,Manufactured homes permit revenue,"Total revenue generated in the fiscal year from manufactured homes permit fees. A manufactured home is defined as a structure, transportable in one or more sections, which, in the traveling mode, is eight feet or more in width or is 40 feet or more in length, or when erected on site, is 320 or more square feet, and which is built on a permanent chassis and designed to be used as a dwelling with or without a permanent foundation when connected to the required utilities, and includes the plumbing, heating, air conditioning, and electrical systems contained therein. These homes are built in accordance with the U.S. Department of Housing and Urban Development (HUD) building code."
qbi60_01,Total permit revenue,[Residential permit revenue] + [Commercial permit revenue] + [Manufactured homes permit revenue].
qbi60_02,Permit revenue as a percentage of total revenue,[Total permit revenue] divided by [Total revenue] and multiplied by 100.
qbi61,Manufactured homes inspections revenue,"Total revenue generated in the fiscal year from manufactures homes inspection fees. A manufactured home is defined as a structure, transportable in one or more sections, which, in the traveling mode, is eight feet or more in width or is 40 feet or more in length, or when erected on site, is 320 or more square feet, and which is built on a permanent chassis and designed to be used as a dwelling with or without a permanent foundation when connected to the required utilities, and includes the plumbing, heating, air conditioning, and electrical systems contained therein. These homes are built in accordance with the U.S. Department of Housing and Urban Development (HUD) building code."
qbi61_01,Total inspections revenue,[Residential inspection revenue] + [Commercial inspection revenue] + [Manufactured homes inspections revenue].
qbi61_02,Inspections revenue as a percentage of total revenue,[Total inspections revenue] divided by [Total revenue] and multiplied by 100.
qbi62,Manufactured homes re-inspection revenue,"Total revenue generated in the fiscal year from manufactures homes re-inspection fees. These are fees collected after a previous failed inspection. A manufactured home is defined as a structure, transportable in one or more sections, which, in the traveling mode, is eight feet or more in width or is 40 feet or more in length, or when erected on site, is 320 or more square feet, and which is built on a permanent chassis and designed to be used as a dwelling with or without a permanent foundation when connected to the required utilities, and includes the plumbing, heating, air conditioning, and electrical systems contained therein. These homes are built in accordance with the U.S. Department of Housing and Urban Development (HUD) building code."
qbi62_01,Total manufactured homes revenue,[Manufactured homes permit revenue] + [Manufactured homes inspections revenue] + [Manufactured Homes re-inspection revenue].
qbi62_02,Manufactured homes revenue as a percentage of total revenue,[Total manufactured homes revenue] divided by [Total revenue] and multiplied by 100.
qbi63,Fire inspection revenue,Total revenue generated from fire inspection fees in the fiscal year.
qbi64,Fire re-inspection revenue,Total revenue generated from fire re-inspection fees in the fiscal year. This is the fees collected from an inspection conducted after a previous failed inspection.
qbi64_01,Total re-inspection revenue,[Residential re-inspection revenue] + [Commercial re-inspection revenue] + [Manufactured Homes re-inspection revenue] + [Fire re-inspection revenue].
qbi64_02,Re-inspection revenue as a percentage of total revenue,[Total re-inspection revenue] divided by [Total revenue] and multiplied by 100.
