Code,Name,Definition
qam01_1,Lane miles per capita (x1000),[Total number of lane miles maintained by the municipality in the fiscal year] divided by [Population] multiplied by 1
qam02_1,Centerline miles per capita (x1000),[Total number of centerline miles maintained by the municipality in the fiscal year] divided by [Population] multiplied by 1
qam02_2,Centerline miles per approved FTE,[Total number of centerline miles maintained by the municipality in the fiscal year] divided by [Total Approved Asphault Maintenance FTEs] multiplied by 1
qam05_1,Potholes reported per centerline mile,[Total potholes reported in the muniipality in one fiscal year] divided by [Total number of centerline miles maintained]
qam06_1,Potholes repaired as a percentage of potholes reported,[Number of potholes repaired in a fiscal year] divided by [Number of potholes reported in a fiscal year] multiplied by 100
qam07_1,Potholes addressed within 24 hours as a percentage of potholes reported,[Number of potholes addressed within 24 hours in a fiscal year] divided by [Total number of potholes reported in a fiscal year] multiplied by 100
qam08_1,Work orders per centerline mile,[Number of work order completed within a fiscal year] divided by [Total number of centerline miles maintained by the municipality]
qam12_2,Population served per approved AMR FTE,[Population] divided by [Approved Aphault Maintenance FTEs]
qam17_1,Total AMR expenses,[Personnel expenses for Asphalt Maintenance] + [Operational expenses for Asphalt Maintenance]
qam17_2,AMR personnel expenses as a percentage of total expenses,[Personnel expenses for Asphalt Maintenance] divided by [Total AMR expenses]
qam17_3,Total AMR expenses per centerline mile,[Total AMR expenses] divided by [Total number of centerline miles]
qam17_4,Total AMR expenses per capita,[Total AMR expenses] divided by [Population]
qbi01,Building inspections performed,"Total number of building trade inspections performed in the fiscal year. Please count each building trade inspection separately even if it is conducted concurrently with other inspections (e.g., electric, fire, etc.). An inspection is defined as visiting a jobsite to verify that the scope of work permitted is in compliance with the associated discipline (building). See Section 107 of the NC Administrative Code in regard to the required inspection."
qbi02,Eletric inspections performed,"Total number of electric trade inspections performed in the fiscal year. Please count each inspection separately even if it is conducted concurrently with other inspections (e.g., building, fire, etc.). An inspection is defined as visiting a jobsite to verify that the scope of work permitted is in compliance with the associated discipline (electric). See Section 107 of the NC Administrative Code in regard to the required inspection."
qbi03,Mechanical inspections performed,"Total number of mechanical trade inspections performed in the fiscal year. Please count each inspection separately even if it is conducted concurrently with other inspections (e.g., building, fire, etc.). An inspection is defined as visiting a jobsite to verify that the scope of work permitted is in compliance with the associated discipline (mechanical). See Section 107 of the NC Administrative Code in regard to the required inspection."
qbi04,Plumbing inspections performed,"Total number of plumbing trade inspections performed in the fiscal year. Please count each inspection separately even if it is conducted concurrently with other inspections (e.g., building, fire, etc.). An inspection is defined as visiting a jobsite to verify that the scope of work permitted is in compliance with the associated discipline (plumbing). See Section 107 of the NC Administrative Code in regard to the required inspection."
qbi05,Other inspections performed,"Total number of other inspections performed in the fiscal year that were NOT counted as a part of building, electric, mechanical, and plumbing inspections. These may be inspections related to complaints, daycare centers, Alcoholic Beverage Control (ABC), sidewalks, and mobile homes, as well as new construction fire inspections, quality assurance inspections, or special inspections such as zoning and code enforcement. Please count each inspection separately even if it is conducted concurrently with other inspections (e.g., building, fire, etc.). An inspection is defined as visiting a jobsite to verify that the scope of work permitted is in compliance with the associated disciplines. See Section 107 of the NC Administrative Code in regard to the required inspection."
qbi06,Responses within one working day,Total number of inspections in the fiscal year that were initiated by the municipality within one working day after the request was made.
qbi07,Inspections completed as scheduled,Total number of inspections in the fiscal year that were conducted by the municipality on the day they were scheduled.
qbi08,Residential inspections completed,Total number of residential inspections marked as complete by the municipality in the fiscal year.
qbi09,Commercial inspections completed,Total number of commercial inspections marked as complete by the municipality in the fiscal year.
qbi10,Reinspections,Total number of commercial inspections marked as complete by the municipality in the fiscal year.
qbi11,Permits issued for Detached Single Family Housing,Total number of permits issued by the municipality in the fiscal year for single-family structures that are fully detached.
qbi12,Permits issued for Attached Single Family Housing,"Total number of permits issued by the municipality in the fiscal year for single-family structures that are attached. This number includes row houses, duplexes, quadruplexes, and townhouses that are separated by ground-to-roof walls and have separate heating systems, individual meters for public utilities, and no units located above or below them."
qbi13,Permits issued for Two or More Family Buildings,"Total number of permits issued by the municipality in the fiscal year for buildings with two or more family homes (multifamily). This number includes apartment buildings, condominiums, townhouses, co-op buildings, and mixed-use buildings."
qbi14,Permits issued for Manufactured Homes,"Total number of permits issued by the municipality in the fiscal year for manufactured homes. A manufactured home is defined as a movable dwelling measuring 8 or more feet wide and 40 or more feet long that is designed to be towed on its own chassis, has transportation gear integral to the unit when it leaves the factory, and does not need a permanent foundation. These homes are built in accordance with the U.S. Department of Housing and Urban Development (HUD) building code."
qbi15,Permits issued for Commercial Buildings,"Total number of permits issued by the municipality in the fiscal year for commercial buildings. This number includes all nonresidential buildings, such as hospitals, government buildings, religious facilities, correctional facilities (prisons), nursing homes, offices, banks, educational establishments, customer service centers, stores, and similar establishments. It also includes manufacturing, production, storage, and distribution buildings, such as factories, mills, plants, warehouses, industrial parks, and any facilities with machinery, equipment, and processes related to manufacturing and industrial operations. "
qbi16,Permits issued for Structures Other Than Buildings,"Total number of permits issued by the municipality in the fiscal year for structures other than buildings. This number may include bridges, tunnels, towers and telecommunication structures, dams, highways and roads, railway tracks, airport runways, and pipelines."
qbi17,"Permits issued for Additions, Alterations, and Conversions - Residential","Total number of permits issued by the municipality in the fiscal year for additions, alterations, and conversions in residential buildings."
qbi18,"Permits issued for Additions, Alterations, and Conversions - Nonresidential and No Housekeeping","Total number of permits issued by the municipality in the fiscal year for additions, alterations, and conversions in nonresidential buildings and facilities."
qbi19,Permits issued for all Other,Total number of permits issued by the municipality in the fiscal year for any structure not included in the above categories.
qbi20,Inspections performed for Single Family Housing Detached,Total number of inspections conducted by the municipality in the fiscal year for single-family structures that are fully detached.
qbi21,Inspections performed for Single Family Housing Attached,"Total number of inspections conducted by the municipality in the fiscal year for single-family structures that are attached. This number includes row houses, duplexes, quadruplexes, and townhouses that are separated by ground-to-roof walls and have separate heating systems, individual meters for public utilities, and no units located above or below them."
qbi22,Inspections performed for Two or More Family Buildings,"Total number of inspections conducted by the municipality in the fiscal year for buildings with two or more family homes (multifamily). This number includes apartment buildings, condominiums, townhouses, co-op buildings, and mixed-use buildings."
qbi23,Inspections performed for Manufactured Homes,"Total number of inspections conducted by the municipality in the fiscal year for manufactured homes. A manufactured home is defined as a movable dwelling measuring 8 or more feet wide and 40 or more feet long that is designed to be towed on its own chassis, has transportation gear integral to the unit when it leaves the factory, and does not need a permanent foundation. These homes are built in accordance with the U.S. Department of Housing and Urban Development (HUD) building code."
qbi24,Inspections performed for Commercial Buildings,"Total number of inspections conducted by the municipality in the fiscal year for commercial buildings. This number includes all nonresidential buildings, such as hospitals, government buildings, religious facilities, correctional facilities (prisons), nursing homes, offices, banks, educational establishments, customer service centers, stores, and similar establishments. It also includes manufacturing, production, storage, and distribution buildings, such as factories, mills, plants, warehouses, industrial parks, and any facilities with machinery, equipment, and processes related to manufacturing and industrial operations."
qbi25,Inspections performed for Structures Other Than Buildings,"Total number of inspections conducted by the municipality in the fiscal year for structures other than buildings. This number may include bridges, tunnels, towers and telecommunication structures, dams, highways and roads, railway tracks, airport runways, and pipelines."
qbi26,Inspections performed for all Other,Total number of inspections conducted y the municipality in the fiscal year for any structure not included in the above categories.
qbi27,"Inspections performed for Additions, Alterations, and Conversions - Residential","Total number of inspections conducted by the municipality in the fiscal year for additions, alterations, and conversions in residential buildings."
qbi28,"Inspections performed for Additions, Alterations, and Conversions - Nonresidential and No Housekeeping","Total number of inspections conducted by the municipality in the fiscal year for additions, alterations, and conversions in nonresidential buildings and facilities."
qbi29,Trade work permits issued,"Total number of trade work permits (sub permits) issued by the municipality in the fiscal year for electric, mechanical, and plumbing work. This number includes specialty permits such as HVAC change outs, water-heater change outs, etc. It also includes permits in which a plan review may not be required."
qbi30,Electric permits issued,Total number of electric trade permits issued by the municipality in the fiscal year. This metric is left blank if the permit data is not broken down by type of trade work.
qbi31,Mechanical permits issued,Total number of mechanical trade permits issued by the municipality in the fiscal year. This metric is left blank if the permit data is not broken down by type of trade work.
qbi32,Plumbing permits issued,Total number of plumbing trade permits issued by the municipality in the fiscal year. This metric is left blank if the permit data is not broken down by type of trade work.
qbi33,Other permits issued,"Total number of other permits issued only by your department in the fiscal year that are NOT building, electric, mechanical, or plumbing permits. This number does not include permits issued by other departments in the municipality. It may include zoning, required fire operational, and use permits issued internally. For some departments, it may include permits in which a plan review may not be required."
qbi34,Average processing time for residential permits that require plan review,Average of the total number of days from the time a residential permit requring plan review is submitted to the time it is sent for a plan review. This metric includes the number of days for all phases from residential-permit submission to approved or disapproved. It does not include the time involved for sending and receiving comments and questions to an applicant that need answering. Residential is defined as project that fall under the NC Residential Code.
qbi35,Average processing time for residential permits that do not require plan review,Average of the total number of days from the time a residential permit NOT requiring plan review is submitted to the time it is approved or disapproved. This metric includes the number of days for all phases from residential-permit.  It does not include the time involved for sending and receiving comments and questions to an applicant that need answering. Residential is defined as project that fall under the NC Residential Code.
qbi36,Average processing time for commercial permits that require plan review,Average of the total number of days from the time a commercial permit requiring plan review is submitted to the time it is sent for a plan review. This metric includes the number of days for all phases from commercial -permit submission to approved or disapproved. It does not include the time involved for sending and receiving comments and questions to an applicant that need answering. Commercial is defined as project that fall under the NC Building Code.
qbi37,Average processing time for commercial permits that do not require plan review,Average of the total number of days from the time a commercial permit NOT requiring plan review is submitted to the time it is approved or disapproved. This metric includes the number of days for all phases from commercial-permit.  It does not include the time involved for sending and receiving comments and questions to an applicant that need answering. Commercial is defined as project that fall under the NC Building Code.
qbi38,Residential plan reviews,Total number of residential plan reviews conducted by the municipality in the fiscal year. This type of review assesses the design and construction methodology and the ability to comply with code on the site. Residential project falls under the NC Residential Code.
qbi39,Commercial plan reviews,Total number of commercial plan reviews conducted by the municipality in the fiscal year. This type of review assesses the design and construction methodology and the ability to comply with code on the site. Commercial project falls under the NC Building Code.
qbi40,Average processing time for residential plan reviews,"Average of the municipalityâ€™s total processing time in days for the review of each residential plan from submission to acceptance or rejection. This number excludes the time a contractor takes to answer questions. A North Carolina residential plan review is mandatory, though certain plan reviews may first go to the NC Department of Insurance (NCDOI) if they fall under the requirements stated in Table 104.1 of the NC Administrative Code. A local AHJ may review a plan in house with special permission from NCDOI. Residential is defined as project that fall under the NC Residential Code."
qbi41,Average processing time for commercial plan reviews,"Average of the municipalityâ€™s total processing time in days for the review of each commercial plan from submission to acceptance or rejection. This number excludes the time a contractor takes to answer questions. A North Carolina commercial plan review is mandatory, though certain plan reviews may first go to the NC Department of Insurance (NCDOI) if they fall under the requirements stated in Table 104.1 of the NC Administrative Code. A local AHJ may review a plan in house with special permission from NCDOI. Commercial is defined as project that fall under the NC Building Code."
qbi42,Approved Level 1 FTEs,"Total number of full-time-equivalent (FTE) inspector positions, filled or unfilled, approved by the municipality for the fiscal year at the standard (non-probationary) certification of Level 1. This number includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits. It does not include seasonal or part-time positions that are not eligible for full benefits."
qbi43,Approved Level 2 FTEs,"Total number of full-time-equivalent (FTE) inspector positions, filled or unfilled, approved by the municipality for the fiscal year at the standard (non-probationary) certification of Level 2. This number includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits. It does not include seasonal or part-time positions that are not eligible for full benefits."
qbi44,Approved Level 3 FTEs,"Total number of full-time-equivalent (FTE) inspector positions, filled or unfilled, approved by the municipality for the fiscal year at the standard (non-probationary) certification of Level 3. This number includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits. It does not include seasonal or part-time positions that are not eligible for full benefits."
qbi45,Approved admin and tech FTEs,"Total number of full-time-equivalent (FTE) administrative and permit technician (non-probationary) positions, filled or unfilled, approved by the municipality for the fiscal year. This number includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits. It does not include seasonal or part-time positions that are not eligible for full benefits."
qbi46,Approved inspector FTEs,"Total number of full-time-equivalent (FTE) inspector positions, filled or unfilled, approved by the municipality for the fiscal year. This number includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits. It does not include seasonal or part-time positions that are not eligible for full benefits."
qbi49,Approved supervisor FTEs,"Total number of full-time-equivalent (FTE) supervisor positions, filled or unfilled, approved for the building department for the fiscal year. This metric includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits (but does not include seasonal or part-time positions that are not eligible for full benefits)."
qbi50,Approved temp-staff FTEs,Total number of full-time-equivalent (FTE) part-time and temporary staff not eligible for full benefits for the fiscal year.
qbi51,Personnel expenses for Building Inspections department,"Total amount of personnel expenses for the building inspections department in the fiscal year. This amount includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unitâ€™s share of all overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurances, disability insurances, unemployment compensation, workersâ€™-compensation contributions, deferred compensation, and other benefits. Only the personnel expenses for permits, inspections, and plan reviews are included. If the department also handles zoning, fire, code enforcement, planning, etc. the expenses incurred for permits, inspections, and plan reviews can be an estimate."
qbi52,Operational expenses for Building Inspections department,"Total amount of operational expenses for the building inspections department in the fiscal year. This amount includes noncapital-outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, sublet work; and all other operating expenses. Only the operational expenses for permits, inspections, and plan reviews are included. If the department also handles zoning, fire, code enforcement, planning, etc. the expenses incurred for permits, inspections, and plan reviews can be an estimate."
qbi01_1,Building inspections performed as a percentage of total inspections,[Total building inspections performed in a fiscal year] divided by [Total inspections performed] multiplied by 100
qbi02_1,Electric inspections performed as a percentage of total inspections,[Total electric inspections performed in a fiscal year] divided by [Total inspections performed] multiplied by 100
qbi03_1,Mechanical inspections performed as a percentage of total inspections,[Total mechanical inspections performed in a fiscal year] divided by [Total inspections performed] multiplied by 100
qbi04_1,Plumbing inspections performed as a percentage of total inspections,[Total plumbing inspections performed in a fiscal year] divided by [Total inspections performed] multiplied by 100
qbi05_1,Total inspections performed,[Building inspections performed] + [Eletric inspections performed] + [Mechanical inspections performed] + [Plumbing inspections performed] + [Other inspections performed]
qbi05_2,Other inspections performed as a percentage of total inspections,[Total other inspections performed in a fiscal year] divided by [Total inspections performed] multiplied by 100
qbi05_3,Total inspections per capita,[Total inspections performed] divided by [Population]
qbi06_1,Responses within one working day as a percentage of total inspections,[Responses within one working day] divided by [Total inspections performed] multiplied by 100
qbi07_1,Inspections completed as scheduled as a percentage of total inspections,[Inspections completed as scheduled] divided by [Total inspections performed] multiplied by 100
qbi08_1,Residential inspections completed as a percentage of total inspections,[Residential inspections completed] divided by [Total inspections performed] multiplied by 100
qbi10_1,Reinspections as a percentage of total inspections,[Reinspections] divided by [Total inspections performed] multiplied by 100
qbi11_1,Detached single family permits issued per capita (x1000),[Permits issued for Detached Single Family Housing] divided by [Population] multiplied by 1000
qbi12_1,Attached single family permits issued per capita (x1000),[Permits issued for Attached Single Family Housing] divided by [Population] multiplied by 1000
qbi13_1,Two or more family building permits issued per capita (x1000),[Permits issued for Two or More Family Buildings] divided by [Population] multiplied by 1000
qbi14_1,Total new residental permits issued,[Permits issued for Detached Single Family Housing] + [Permits issued for Attached Single Family Housing] + [Permits issued for Two or More Family Buildings] + [Permits issued for Manufactured Homes]
qbi14_2,Manufactured homes permits issued per capita (x1000),[Permits issued for Manufactured Homes] divided by [Population] multiplied by 1000
qbi15_1,Commercial buildings permits issued per capita (x1000),[Permits issued for Commercial Buildings] divided by [Population] multiplied by 1000
qbi16_1,Non-building structure permits issued per capita (x1000),"[Permits issued for Structures, Other than Buildings] divided by [Population] multiplied by 1000"
qbi17_1,Residential alteration permits issued per capita (x1000),"[Permits issued for Additions, Alterations, and Conversions - Residential] divided by [Population] multiplied by 1000"
qbi17_3,Total building inspection expenses per inspection,[Total building inspection expenses] divided by [Total inspections performed]
qbi17_4,Total building inspection expenses per capita,[Total building inspection expenses] divided by [Population]
qbi18_1,Non-residential alteration permits issued per capita (x1000),"[Permits isued for Additions, Alterations, and Conversions - Nonresidential] divided by [Population] multiplied by 1000"
qbi19_1,Total permits issued,"[Permits issued for Detached Single Family Housing] + [Permits issued for Attached Single Family Housing] + [Permits issued for Two or More Family Buildings] + [Permits issued for Manufactured Homes] + [Permits issued for Commercial Buildings] + [Permits issued for Structures Other Than Buildings] + [Permits issued for Additions, Alterations, and Conversions - Residential] + [Permits issued for Additions, Alterations, and Conversions] - [Nonresidential and No Housekeeping] + [Permits issued for all Other]"
qbi19_2,New residential permits as a percentage of total permits issued,[Total new residential permits issued] divided by [Total permits issued]
qbi19_3,All other permits issued per capita (x1000),[Permits issed for all Other] divided by [Population]
qbi20_1,Detached single family inspections as a percentage of total inspections,[Detached single family housing inspections] divided by [Total inspections performed] multipled by 100
qbi21_1,Attached single family inspections as a percentage of total inspections,[Inspections on attched single family housing] divided by [Total inspections performed] multipled by 100
qbi22_1,Two or more family building inspections as a percentage of total inspections,[Inspection for Two or More family buildings] divided by [Total inspections performed] multipled by 100
qbi23_1,Manufactured homes inspections as a percentage of total inspections,[Inspections for Munfactured buildings] divided by [Total inspections performed] multipled by 100
qbi24_1,Commercial buildings inspections as a percentage of total inspections,[Inspections for Commercial buildings] divided by [Total inspections performed] multipled by 100
qbi25_1,Structures other than buildings inspections as a percentage of total inspections,[Inspections for sturctures other than buildings] divided by [Total inspections performed] multipled by 100
qbi26_1,Other inspections as a percentage of total inspections,[Inspections for all Other] divided by [Total inspections performed] multipled by 100
qbi27_1,Residential inspections as a percentage of total inspections,"[Inspections for Additions, Alterations, and Conversions - Residential] divided by [Total inspections performed] multipled by 100"
qbi28_1,Non-residentail inspections as a percentage of total inspections,"[Inspections for Additions, Alterations, and Conversions - Nonresidential] divided by [Total inspections performed] multipled by 100"
qbi29_1,Trade work permits issued as a percentage of total permits issued,[Trade work Permits issued] divided by [Total permits issued] multiplied by 100
qbi30_1,Electric permits issued as a percentage of total permits issued,[Electric Permits issued] divided by [Total permits issued] multiplied by 100
qbi31_1,Mechanical permits issued as a percentage of total permits issued,[Mechanical Permits issued] divided by [Total permits issued] multiplied by 100
qbi32_1,Plumbing permits issued as a percentage of total permits issued,[Plumbing Permits issued] divided by [Total permits issued] multiplied by 100
qbi33_1,Other permits issued as a percentage of total permits issued,[Other Permits issued] divided by [Total permits issued] multiplied by 100
qbi38_1,Residential plan reviews per capita (x1000),[Residential plan reviews] divided by [Population] multiplied by 1000
qbi39_1,Commercial plan reviews per capita (x1000),[Commercial plan reviews] divided by [Population] multiplied by 1000
qbi39_2,Total plan reviews,[Residential Plan reviews] + [Commercial Plan reviews]
qbi39_3,Residential plan reviews as a percentage of total plan reviews,[Residential plan reviews] divided by [Total plan reviews] multiplied by 100
qbi42_1,Approved level 1 FTEs as a percentage of approved inspector FTEs,[Approved Level 1 FTEs] divided by [Approved inspector FTEs] multiplied by 100
qbi43_1,Approved level 2 FTEs as a percentage of approved inspector FTEs,[Approved Level 2 FTEs] divided by [Approved inspector FTEs] multiplied by 100
qbi44_1,Approved level 3 FTEs as a percentage of approved inspector FTEs,[Approved Level 3 FTEs] divided by [Approved inspector FTEs] multiplied by 100
qbi45_1,Ratio of admin-to-inspector FTEs,[Approved Admin and tech FTEs] divided by [Approved inspector FTEs] multiplied by 100
qbi46_2,Population served per approved inspector FTE,[Population] divided by [Approved inspector FTEs]
qbi46_4,Inspections performed per approved inspector FTE,[Total inspections performed] divided by [Approved inspector FTEs]
qbi50_1,Ratio of temp-to-inspector FTEs,[Approved temp-staff FTEs] divided by [Approved inspector FTEs]
qbi51_1,Building inspections personnel expenses as a percentage of total expenses,[Personnel expenses for Building Inspections Department] divided by [Total building inspection expenses] multiplied by 100
qbi52_1,Total building inspection expenses,[Personnel expenses for Building Inspections Department] + [ Operationa expenses for Building inspections Department
qhr01,Average length of service of full-time employees,"Average length of service, in months, for all authorized full-time municipal government employees from date of most recent hire."
qhr02,Average length of service of part-time employees,"Average length of service, in months, from date of most recent hire for all authorized regular part-time municipal positions that are eligible for full benefits. This metric does not include temporary workers."
qhr03,Average length of service of temporary employees,"Average length of service, in months, from date of most recent hire for all temporary municipal positions (including temp, grant, half-time, and contingent workers) that are NOT eligible for benefits."
qhr04,Full-time employee separations,Total number of authorized permanent full-time municipal government employees that left during the fiscal year.
qhr05,Part-time employee separations,Total number of authorized regular part-time positions (that are eligible for full benefits) that left the municipal government during the fiscal year. This metric does not include temporary workers.
qhr06,Temporary employee separations,"Total number of temporary positions (including temp, grant, half-time, and contingent workers that are not eligible for benefits) that left the municipal government during the fiscal year."
qhr07,Voluntary full-time separations,Total number of authorized permanent full-time municipal government employees that left voluntarily (including retirements) during the fiscal year. This metric does not include temporary workers.
qhr08,Voluntary part-time separations,Total number of authorized regular part-time positions (that are eligible for full benefits) that left voluntarily (including retirements) during the fiscal year. This metric does not include temporary workers.
qhr09,Full-time retirements,Total number of authorized permanent full-time municipal government employees that retired during the fiscal year. This metric does not include temporary workers.
qhr10,Part-time retirements,Total number of authorized regular part-time positions (that are eligible for full benefits) that retired during the fiscal year. This metric does not include temporary workers.
qhr11,Full-time recruitements,"Total number of new full-time requisitioned recruitements processed by HR during the fiscal year (i.e., the number of recruitments per year). Although multiple positions can be included in a single requisition, this metric counts each individual position for the total."
qhr12,Part-time recruitements,"Total number of new regular part-time recruitements (that are eligible for full benefits) processed by HR during the fiscal year (i.e., the number of recruitments per year). Although multiple positions can be included in a single requisition, this metric counts each individual position for the total."
qhr13,Temporary recruitements,"Total number of new temporary recruitements (including temp, grant, and contingent workers that are not eligible for benefits) processed by HR during the fiscal year (i.e., the number of recruitments per year). Although multiple positions can be included in a single requisition, this metric counts each individual position for the total."
qhr14,Full-time employees completing probationary period,Total number of new full-time city government employees who completed their probationary period.
qhr15,Grievances received,"Number of formal, written grievances filed by municipal government employees during the fiscal year."
qhr16,Approved FTEs in municipal government,"Total full-time equivalents (FTEs), filled or unfilled, approved for city government for the fiscal year. This metric includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits (but does not include seasonal or part-time positions that are not eligible for full benefits)."
qhr19,Approved FTEs for HR,"Total full-time equivalents (FTEs), filled or unfilled, approved for HR for the fiscal year. This metric includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits (but does not include seasonal or part-time positions that are not eligible for full benefits)."
qhr22,Medical coverage cost,"Total dollars of medical and prescription coverage costs incurred by municpal government for all fully benefitted employees in the fiscal year. This includes all claims data for all covered members, including dependents."
qhr23,Personnel expenses for HR,"Total amount of HR personnel expenses in the fiscal year. This amount includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unitâ€™s share of all overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurances, disability insurances, unemployment compensation, workersâ€™-compensation contributions, deferred compensation, and other benefits."
qhr24,Operational expenses for HR,"Total amount of HR operational expenses in the fiscal year. This amount includes noncapital-outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, sublet work; and all other operating expenses."
qhr04_1,Full-time employee separations as percentage of approved municipal FTEs,[Full-time employee separations] divided by [Approved FTEs in municipal government] multiplied by 100
qhr05_1,Part-time employee separations as percentage of approved municipal FTEs,[Part-time employee separations] divided by [Approved FTEs in municipal government] multiplied by 100
qhr06_1,Temporary employee separations as percentage of approved municipal FTEs,[Temporary employee separations] divided by [Approved FTEs in municipal government] multiplied by 100
qhr07_1,Voluntary full-time separations as percentage of full-time employee separations,[Voluntary full-time separations] divided by [Full-time employee separations] multiplied by 100
qhr08_1,Voluntary part-time separations as percentage of part-time employee separations,[Voluntary part-time separations] divided by [Part-time employee separations] multiplied by 100
qhr09_1,Full-time retirements as percentage of approved municipal FTEs,[Full-time retirements] divided by [Approved FTEs in municipal government] multiplied by 100
qhr10_1,Part-time retirements as percentage of approved municipal FTEs,[Part-time retirements] divided by [Approved FTEs in municipal government] multiplied by 100
qhr11_1,Full-time recruitements as percentage of approved municipal FTEs,[Full-time recruitments] divided by [Approved FTEs in municipal government] multiplied by 100
qhr12_1,Part-time recruitements as percentage of approved municipal FTEs,[Part-time recruitments] divided by [Approved FTEs in municipal government] multiplied by 100
qhr13_1,Temporary recruitements as percentage of approved municipal FTEs,[Temporary recruitments] divided by [Approved FTEs in municipal government] multiplied by 100
qhr14_1,Percentage of full-time employees completing probationary period,[Full-time employees completing probationary period] divided by [Full time recruitments] multiplied by 100
qhr15_1,Grievances received as percentage of approved municipal FTEs,[Grievances recieved] divided by [Approved FTEs in municipal government] multiplied by 100
qhr16_1,Ratio of approved municipal to HR FTEs,[Approved FTEs in municipal government] divided by [Approved FTEs for HR]
qhr16_3,Population served per approved municipal government FTE,[Population] divided by [Approved FTEs in municipal government]
qhr22_1,Medical coverage cost per FTE,[Medical Coverage Cost] divided by [Approved FTEs in municipal government]
qhr23_1,HR personnel expenses as a percentage of total expenses,[Personnel expenses for HR] divided by [Total HR expenses] multiplied by 100
qhr24_1,Total HR expenses,[Personnel expenses for HR] + [Operational expenses for HR]
